formula,Property Band gap values Clean,Property Reliability,Property Band gap method
BeO,14.5,2,
As$_{2}$Se$_{3}$,1.63,2,Absorption
CaB$_{6}$,3.3,2,Reflection
ZrC,0.6,1,Thermal activation
InN,2.4,1,Estimated
InSb,0.235,2,Magnetoabsorption
AlAs,2.205,2,Absorption
Ag$_{2}$O,0.64,2,Thermal activation
FeSi$_{2}$,0.85,2,
Ce$_{2}$S$_{3}$,1.12,1,
LiI,6,2,Estimated
Se,1.98,2,Absorption
PbTe,0.19,2,Magnetoabsorption
As$_{2}$S$_{3}$,2.64,2,Absorption
PrO$_{2}$,0.66,1,Thermal activation
ZrSe$_{3}$,1.25,1,Absorption
BiI$_{3}$,2.03,2,Absorption
SnO$_{2}$,3.597,2,Absorption
ZnO,3.35,1,Reflection
CdAs$_{2}$,1,1,Absorption
Rb$_{2}$Te,4.5,1,Photoconduction
GeAs$_{2}$,1.45,1,Absorption
Ag$_{2}$Se,0.07,2,Thermal activation
BP,2,2,Absorption
ZnTe,2.29,2,
MnF$_{2}$,10.24,2,Absorption
HfS$_{2}$,2.9,1,Reflection
Cu$_{2}$Te,1.02,2,Photoconduction
Sc$_{2}$O$_{3}$,6,1,Absorption
K$_{2}$Te,1.9,1,Estimated
GaS,2.7,2,
CdF$_{2}$,6,1,
As$_{2}$S$_{3}$,2.45,2,Absorption
PbO$_{2}$,1.7,1,
AlB,0.74,2,Thermal activation
Ag$_{2}$Te,0.064,2,
SrSe,4.42,1,Absorption
KI,5.61,2,Reflection
TlBr,3.073,2,Absorption
CuI,3.047,2,Absorption
MnO$_{2}$,0.26,1,Thermal activation
RbF,10.4,1,Absorption
AlSb,2.218,1,Reflection
GaSe,1.97,2,Absorption
PbTe,0.19,2,Absorption
NiTe,0.23,1,Thermal activation
TmAs,1.18,1,Absorption
Bi$_{2}$O$_{3}$,2.91,1,Absorption
TiC$_{0.9}$,0.3,1,Magnetoreflection
Sm$_{2}$Se$_{3}$,2.3,2,Thermal activation
Mg$_{3}$As$_{2}$,2.55,1,Thermal activation
PtSb$_{2}$,0.11,2,
SrSe,4.45,2,Absorption
In$_{2}$Se,0.828,1,Absorption
SmAs,1.03,1,Absorption
GeSe$_{2}$,2.69,2,Absorption
SiC,3.33,2,Absorption
NaCl,8.5,2,Reflection
BaSe,3.58,2,Absorption
HgI$_{2}$,2.35,2,Absorption
CoTe$_{1.88}$,0.2,1,Absorption
TlS,0.98,2,Thermal activation
Rb$_{3}$Sb,1,2,Absorption
AgBr,2.691,2,Absorption
KCl,7.68,2,Reflection
TlCl,3.5,2,Absorption
As$_{2}$S$_{5}$,2.48,1,Absorption
Tb$_{2}$O$_{3}$,0.86,2,
Zn$_{4}$Sb$_{3}$,1.2,1,Absorption
PAs,0.23,1,Thermal activation
NdB$_{6}$,4,2,Absorption
NaF,10.5,1,
HfS$_{2}$,1.96,1,Absorption
TaS$_{2}$,0.1,1,Thermal activation
GaSb,0.725,2,Absorption
Te,0.334,2,Magnetoabsorption
TiO$_{2}$,3,1,Electroreflection
NaCl,8.97,2,Reflection
Bi$_{2}$Te$_{3}$,0.14,2,Thermal activation
Ag$_{2}$Te,0.2,2,
ZnP$_{2}$,2.03,1,Absorption
SbSi,1.9,1,Thermal activation
SnSe$_{2}$,1,2,Absorption
GaSe,1.98,1,Absorption
As$_{2}$Se$_{3}$,1.8,2,
As$_{2}$S$_{3}$,1.89,2,Absorption
GdTe,1.3,1,
AgCl,3.22,2,Absorption
Ag$_{2}$S,1.03,1,Photoconduction
Hg$_{2}$Cl$_{2}$,3.5,1,Reflection
RbI,6.25,2,Reflection
LiF,13.6,1,Reflection
HgI$_{2}$,3.045,2,Reflection
Ce$_{2}$Se$_{3}$,1.62,2,Thermal activation
RbI,6.05,2,Absorption
GeTe,0.77,2,Absorption
Sb$_{2}$S$_{3}$,1.67,2,Absorption
AsI$_{3}$,2.54,2,Absorption
BAs,1.6,2,SCOPW
SnS$_{2}$,2.07,1,Absorption
K$_{2}$S,2.1,1,Estimated
Na$_{3}$Sb,1.1,2,Absorption
CaF$_{2}$,10,1,Absorption
Ga$_{2}$Te$_{3}$,1.08,2,Absorption
AlN,5.88,2,Absorption
AgBr,2.52,2,Absorption
V$_{2}$O$_{5}$,2.36,2,Absorption
MnS,6,2,Reflection
GeS$_{2}$,3.71,2,Absorption
MgF$_{2}$,11.1,2,Absorption
KCl,8.5,1,Absorption
La$_{2}$O$_{3}$,1.05,1,Thermal activation
VO$_{2}$,0.12,2,
SiP$_{2}$,1.89,1,Absorption
GeSe$_{2}$,2.38,1,Absorption
KCl,7.8,2,Reflection
In$_{2}$O$_{3}$,2.619,1,Absorption
Cu$_{2}$O,2.023,1,Electroreflection
K$_{3}$Sb,1.1,2,Absorption
NaBr,7.7,2,Absorption
Bi$_{2}$Te$_{3}$,0.16,2,
MoO$_{3}$,3.54,1,Thermal activation
CdP$_{4}$,1,1,Absorption
GaAs,1.09,2,Absorption
BiI$_{3}$,2.52,2,
ZnSb,0.5,1,Absorption
B,1.47,2,Absorption
GaSe,2.132,2,Magnetoabsorption
KI,6.31,2,Absorption
Ge$_{0.891}$Si$_{0.109}$,1.126,2,Electroreflection
K$_{3}$Sb,1.4,1,Absorption
BiSb,0.023,2,Magnetoreflection
PtSb$_{2}$,0.112,2,
InAs,0.404,2,Magnetoabsorption
PbSe,0.31,2,Reflection
CBr$_{4}$,3.7,1,Absorption
NaI,6,2,Absorption
GaSe,2.12,1,Absorption
PbO,2.88,2,Absorption
La$_{2}$S$_{3}$,1.32,1,Thermal activation
CdO,2.3,1,Absorption
MoTe$_{2}$,1.08,2,Absorption
AgN$_{3}$,3.9,1,Photoconduction
AgCl,5.13,1,Absorption
GaAs,1.479,2,Absorption
InSe,1.357,2,Absorption
CaS,5.38,2,Absorption
Se,1.8,2,Absorption
SnO$_{2}$,2.6,2,
Pr$_{2}$Te$_{3}$,1.3,1,Absorption
TiS$_{3}$,0.9,1,Absorption
Ge$_{0.774}$Si$_{0.226}$,1.503,2,Electroreflection
ZnSb,0.603,2,Absorption
Ce$_{2}$Te$_{3}$,1.4,1,Thermal activation
Sb$_{2}$Se$_{3}$,1.2,1,Absorption
B$_{2}$O$_{3}$,4.9,2,
GdAs,0.63,1,Absorption
Al$_{2}$O$_{3}$,7,2,Photoconduction
PbI$_{2}$,2.32,1,Absorption
MnAl$_{3}$,0.58,1,Thermal activation
NaBr,7.025,2,Reflection
GaAs,1.46,2,
GaAs,1.511,2,Absorption
As$_{2}$Se$_{3}$,1.1,2,
SiTe$_{2}$,2.18,1,Absorption
TlSe,0.84,2,Thermal activation
ErN,2.4,1,Absorption
GeS,1.77,2,Absorption
Mg$_{2}$Pb,0.1,2,Estimated
As$_{2}$S$_{3}$,2.74,2,Absorption
CdSe,1.816,2,Photoconduction
Ti$_{2}$O$_{3}$,0.05,2,Thermal activation
PdTe$_{2}$,1.8,1,
CdI$_{2}$,3.857,1,Absorption
AgCl,3.25,1,Absorption
SiAs,2.2,2,Absorption
CdS,2.526,2,
HgI$_{2}$,2.322,2,Absorption
BeO,10.57,1,Reflection
Se,2.85,2,
Si,1.16,2,Absorption
EuO,1.115,2,Reflection
Bi$_{0.9}$Sb$_{0.1}$,0.024,2,
Cd$_{4}$Sb$_{3}$,1.25,1,Absorption
SiC,2.6,2,Absorption
FeP$_{2}$,0.4,1,Thermal activation
ZnS,3.88,2,Reflection
RuP$_{2}$,1,1,Reflection
KBr,6.75,2,Reflection
SnO$_{2}$,3.69,2,Absorption
InSe,1.187,1,Absorption
NiS,0.01,2,Thermal activation
Sc$_{2}$S$_{3}$,2,1,Thermal activation
Al$_{2}$O$_{3}$,8.56,2,
Mg$_{3}$Bi$_{2}$,0.1,2,Thermal activation
GaSe,2.109,2,Electroreflection
MnSi,0.6,1,Thermal activation
PbO$_{2}$,1.4,2,Absorption
PbO,1.936,1,Absorption
PbTe,0.217,2,Magnetoabsorption
CdAs$_{2}$,1.04,2,Absorption
ZnTe,2.35,2,Reflection
GaN,3.8,2,Reflection
Mg$_{2}$Ge,0.532,1,Absorption
As$_{2}$Se$_{3}$,1.81,2,
Mg$_{2}$Sn,0.33,2,Absorption
GaS,2.38,2,Photoconduction
AlB,0.82,1,Thermal activation
FeAs$_{2}$,0.2,1,Thermal activation
RuTe$_{2}$,0.25,1,Thermal activation
K$_{2}$Se,1.8,1,Estimated
KBr,6.58,2,Reflection
CrTe,0.02,1,Thermal activation
CeO$_{2}$,2.68,1,Thermal activation
Te,0.35,2,
SnI$_{4}$,2.38,1,Absorption
BeO,11.2,2,Reflection
InAs,0.409,2,Magnetoabsorption
CsI,6.4,2,
CdS,2.386,2,
HgSe,0.6,2,Reflection
CsI,6.3,2,Absorption
PbO,2.66,2,Absorption
Sc$_{2}$O$_{3}$,5.4,2,Reflection
Dy$_{2}$S$_{3}$,2.91,1,Absorption
PbO$_{2}$,1.45,2,Absorption
RbI,6.26,2,Absorption
TlSe,0.57,2,
KI,6.17,1,Reflection
GaN,3.25,2,Absorption
Sb$_{2}$Te$_{3}$,0.3,1,Absorption
TiSe$_{2}$,0.69,1,Estimated
Tl$_{2}$S,0.59,2,Photoconduction
Mg$_{2}$Sn,0.185,2,Absorption
FeI$_{2}$,5.15,1,Absorption
SmSe,0.46,1,Absorption
As$_{2}$Se$_{3}$,1.7,2,Absorption
GaTe,1.67,2,Absorption
HgS,2.16,2,Absorption
Er$_{2}$Te$_{3}$,0.9,1,Thermal activation
Sb$_{2}$Te$_{3}$,0.3,2,
GaSb,0.725,1,Absorption
PbS,0.37,2,Absorption
ZnO,3.26,2,
Cu$_{2}$O,2.59,2,Electroreflection
Al$_{2}$O$_{3}$,7.3,2,Thermal activation
CdP$_{2}$,1.65,1,
Cu$_{2}$S,1.7,2,Absorption
B,1.42,2,Thermal activation
Si$_{3}$N$_{4}$,5.1,2,Absorption
Bi$_{2}$Te$_{3}$,0.145,1,Absorption
HgSe,0.07,2,
VO,0.3,1,
MoO$_{3}$,3.66,1,Absorption
MgO,7.77,1,Reflection
Nd$_{2}$O$_{3}$,0.97,1,Thermal activation
AlBi,0.4,1,Estimated
Bi$_{2}$Te$_{3}$,0.15,2,
LaSb,0.8,1,Absorption
Ge,0.665,1,Absorption
LiF,12.61,1,Reflection
CdP$_{2}$,1.93,2,Photoconduction
As$_{2}$Te$_{3}$,1.1,2,
EuTe,2,2,Absorption
C,5.413,2,Photoconduction
GeO$_{2}$,5.54,2,Absorption
TaN,2.3,1,Absorption
Bi$_{2}$O$_{3}$,2.58,2,Photoconduction
Te,0.334,2,
CdI$_{2}$,3.2,2,Photoconduction
PbTe,0.19,2,Reflection
SnBr$_{2}$,3.5,2,Absorption
CrSb,0.2,1,Thermal activation
CdS,2.425,1,Photoconduction
CuN$_{3}$,4.96,2,Absorption
Sb$_{2}$O$_{3}$,4.2,2,Photoconduction
SnTe,0.36,2,Absorption
B,0.74,2,Absorption
As,1.2,1,Photoconduction
HgS,0.54,1,Absorption
SnTe,0.26,2,Absorption
HgCl$_{2}$,4.45,2,Absorption
CdTe,1.595,2,Electroreflection
TiO$_{2}$,3.5,2,Electroreflection
Sb$_{2}$Se$_{3}$,1.15,2,Absorption
Li$_{3}$Bi,0.7,1,Thermal activation
GaS,2.84,2,
KCl,8.69,2,Reflection
NiO,0.92,2,Thermal activation
Cd$_{3}$As$_{2}$,0.53,2,Photoconduction
EuSe,1.78,2,Reflection
C,7.02,1,Reflection
Se,1.7,2,Absorption
As$_{2}$S$_{6}$,2.35,2,Absorption
KI,5.92,2,Absorption
InSb,0.175,2,Absorption
Se,1.77,2,Absorption
SnO$_{2}$,3.631,2,Absorption
FeSi$_{2}$,0.88,2,
TlS,1.36,1,Reflection
Be$_{3}$Sb$_{2}$,0.67,1,Thermal activation
V$_{2}$O$_{5}$,1.95,2,Thermal activation
GaAs,1.507,2,
V$_{2}$O$_{5}$,2.3,2,Absorption
SnSe$_{2}$,1.03,1,Absorption
HgS,2.183,2,Absorption
Sm$_{2}$O$_{3}$,2.27,2,
As$_{2}$Te$_{3}$,0.9,2,
SbI$_{3}$,2.49,2,Absorption
KI,6.2,2,Absorption
EuS,1.645,1,Absorption
VO$_{2}$,0.65,1,Absorption
CdP$_{2}$,2.02,1,Absorption
Mg$_{2}$Si,2.17,2,Reflection
Mg$_{2}$Ge,1.737,2,
As$_{2}$Se$_{3}$,1.5,2,Absorption
Sm$_{2}$Se$_{3}$,2.3,1,Reflection
FeSb$_{2}$,0.05,2,Thermal activation
GaTe,1.74,2,
Ag$_{2}$Se,0.18,2,Thermal activation
K$_{3}$Sb,1,1,Thermal activation
Na$_{2}$Te,2,2,Estimated
ZnP$_{2}$,2.18,1,
CdBr$_{2}$,4.47,1,Reflection
TiO$_{2}$,2.9,2,Absorption
Yb$_{2}$O$_{3}$,2.99,1,Thermal activation
Sn,0.075,1,Absorption
GaS,2.53,2,Absorption
CuN$_{3}$,4.17,1,Absorption
SnTe,0.3,2,Thermal activation
Ag$_{2}$Te,0.064,2,
K$_{3}$Sb,1.1,2,Absorption
ZnAs$_{2}$,0.93,2,Absorption
Cr$_{3}$Se$_{4}$,0.015,1,Thermal activation
InSb,0.236,2,
As$_{2}$S$_{3}$,2.062,2,Absorption
ThO$_{2}$,2.56,2,Thermal activation
SnO$_{2}$,3.57,2,Reflection
Na$_{3}$Sb,1.1,1,Absorption
RbI,5.83,1,Absorption
SnS$_{2}$,2.6,2,Reflection
InSe,1.19,2,Reflection
CaO,7.03,2,Reflection
Bi,0.015,1,Magnetoreflection
V$_{2}$O$_{5}$,2.32,2,Absorption
TiO$_{2}$,3.3,1,Electroreflection
HgO,1.18,2,Thermal activation
SmB$_{6}$,4.9,1,Reflection
Se,1.81,2,Absorption
PbI$_{2}$,2.41,2,
NiAs$_{2}$,0.05,1,
Al$_{2}$S$_{3}$,4.1,1,Absorption
Hg$_{2}$Br$_{2}$,2.6,1,Absorption
ZnP$_{2}$,1.85,1,
TlBr,3.1,2,Absorption
PbSe,0.27,1,Reflection
Bi$_{0.92}$Sb$_{0.08}$,0.007,2,Thermal activation
Se,1.56,2,Absorption
RbI,6.37,2,Photoconduction
Cs$_{3}$Bi,0.55,1,Absorption
HgTe,0.303,2,Magnetoreflection
B,1.53,2,Absorption
KBr,7.6,1,Absorption
MnI$_{2}$,4.4,2,Absorption
CeO$_{2}$,1.1,2,Thermal activation
GaSb,0.81,2,
SiAs,1.57,2,Absorption
Si$_{3}$N$_{4}$,4.5,2,Absorption
As,0.172,2,Magnetoreflection
Tl$_{2}$S,0.19,2,Photoconduction
VO$_{2}$,0.4,2,Absorption
HgTe,0.19,2,
AgBr,2.68,2,Absorption
Ga$_{2}$Te$_{3}$,1.32,1,Reflection
AlB,0.5,2,Thermal activation
InAsI,0.41,2,
InAs,0.356,1,Magnetoabsorption
Se,2.4,2,Absorption
MoO$_{3}$,3.66,1,Thermal activation
As$_{2}$S$_{5}$,2.21,2,Absorption
GaSe,2.01,2,Thermal activation
FeSe$_{2}$,0.5,2,Thermal activation
Mg$_{2}$Ge,0.63,2,Photoconduction
Ag$_{2}$Te,0.28,2,
Cu$_{2}$Te,1.04,2,Reflection
MoTe$_{2}$,0.83,1,Absorption
GaAs,1.147,2,Absorption
GaN,3.39,2,Absorption
AgCl,3.08,2,Absorption
NaBr,7.5,1,Absorption
Ca$_{2}$Pb,0.46,1,Thermal activation
SrO,5.7,2,Reflection
WTe$_{2}$,0.075,2,Thermal activation
Bi$_{2}$Se$_{3}$,0.161,2,Absorption
SnS$_{2}$,2.21,2,Absorption
SrO,5.77,1,Absorption
RbCl,8.2,2,Absorption
SiC,2.39,2,Absorption
Ag$_{2}$Te,0.064,1,Absorption
NbSe$_{2}$,1.4,1,Reflection
WO$_{3}$,2.7,2,Absorption
Er$_{2}$O$_{3}$,3.26,1,Thermal activation
KBr,7.76,2,Absorption
Bi$_{2}$Se$_{3}$,0.21,1,Absorption
Mg$_{2}$Ge,0.567,2,Absorption
InS,1.86,1,Thermal activation
OsSb$_{2}$,0.2,1,Thermal activation
LaB$_{6}$,4.1,2,Absorption
Si,1.166,2,
As$_{2}$S$_{3}$,2.2,2,
ZnTe,2.25,1,Absorption
EuS,3.1,2,Absorption
Sb$_{2}$Se$_{3}$,1.1,2,Absorption
SnCl$_{2}$,3.9,1,Reflection
As$_{2}$S$_{3}$,2.32,2,Absorption
PrO,0.55,2,Thermal activation
ZnSb,0.5,2,Absorption
Mg$_{2}$Sn,0.36,2,Thermal activation
Ce$_{2}$Se$_{3}$,1.75,1,Reflection
Bi$_{2}$Te$_{3}$,0.15,2,Absorption
PbI$_{2}$,2.36,2,Reflection
Cu$_{2}$Te,1.15,2,Absorption
Nb$_{2}$S$_{3}$,0.12,1,Thermal activation
PbTe,0.34,2,Reflection
MoO$_{3}$,3.7,2,Absorption
SnSe$_{2}$,1.97,1,Reflection
Ge$_{0.542}$Si$_{0.458}$,2.238,2,Electroreflection
Te,0.343,2,Absorption
EuSe,1.78,1,Reflection
PbCl$_{2}$,4.1,2,Reflection
Cd$_{3}$P$_{2}$,0.52,1,Thermal activation
Mg$_{2}$Si,0.6,1,Estimated
NaCl,8.4,2,Absorption
Ga$_{2}$Te$_{3}$,1.13,1,Reflection
As$_{2}$S$_{3}$,2.56,2,Absorption
TiO$_{2}$,3.75,2,Absorption
RbI,6.1,2,Absorption
AsSe,1.01,1,Absorption
As$_{2}$S$_{3}$,2,2,Absorption
Pr$_{2}$Se$_{3}$,1.8,1,Reflection
Al$_{2}$Te$_{3}$,2.2,2,Thermal activation
Mg$_{2}$Pb,0.1,2,Thermal activation
Cd$_{3}$P$_{2}$,0.55,2,
Zr$_{3}$O,0.2,1,Thermal activation
Cu$_{2}$S,1.05,2,Absorption
AlAs,2.25,2,
InP,1.413,2,Absorption
GaTe,1.52,2,
HfSe$_{2}$,1.13,1,Absorption
PdSe,0.2,1,Thermal activation
RbCl,8.29,1,Absorption
CdP$_{2}$,1.92,1,
LiCl,9.33,1,Reflection
RbI,6.1,2,Absorption
KI,6.2,2,Absorption
PrF$_{3}$,5.3,2,Absorption
CdI$_{2}$,3.26,2,Reflection
PbSe,0.275,2,Absorption
Se,1.75,1,Absorption
PbTe,0.29,2,Reflection
BiSb$_{0.15}$,0.022,2,Magnetoreflection
Cu$_{2}$S,1.8,2,Thermal activation
ZrSe$_{2}$,2,1,Reflection
InP,1.45,2,Absorption
UO$_{2}$,2.18,1,Absorption
AgBr,2.69,2,Absorption
Sb$_{2}$S$_{3}$,1.92,2,Reflection
RbBr,7.7,2,Absorption
In$_{2}$Se$_{3}$,1.2,1,Absorption
As$_{2}$S$_{5}$,2.62,2,Absorption
Bi$_{2}$O$_{3}$,2.15,2,Thermal activation
AlSb,1.62,2,Reflection
S,4.2,2,Reflection
IrS$_{2}$,0.9,1,Absorption
As$_{2}$Se$_{3}$,1.77,1,Reflection
Ge,0.735,2,Absorption
CI$_{4}$,2.26,1,Absorption
CaO,7.5,2,Estimated
CdIn,0.6,1,Estimated
HgI$_{2}$,2.29,2,Reflection
PbO,2.73,2,Absorption
PbTe,0.31,2,Photoconduction
