formula,Property Band gap values Clean,Property Reliability,Property Band gap method
Mg$_{2}$Pb,0.041,1,Thermal activation
GdN,1.54,1,Absorption
Bi$_{0.7}$Sb$_{0.3}$,0.008,2,Thermal activation
Ag$_{2}$S,1.23,2,Photoconduction
IrSe$_{2}$,1,1,Absorption
SnSe,1.2,1,Absorption
Cu$_{2}$S,1.21,1,Reflection
LiBr,7.95,1,Absorption
GaAs,1.521,2,Absorption
Sb$_{2}$O$_{3}$,3.31,1,Reflection
ZnTe,2.35,2,Reflection
ThO$_{2}$,5.02,2,Absorption
BAs,3.56,2,SCOPW
La$_{2}$Te$_{3}$,0.1,1,Thermal activation
Cs$_{3}$Sb,1.6,2,
CuP$_{2}$,1.4,1,Absorption
EuS,1.645,2,Absorption
BiI$_{3}$,2.195,1,
LaF$_{3}$,6.6,1,Absorption
Ge$_{0.9355}$Si$_{0.0645}$,1.042,2,Electroreflection
La$_{2}$O$_{3}$,2.86,2,
Mg$_{2}$Ge,1.67,2,Reflection
WSe$_{2}$,1.57,2,Absorption
EuTe,2,2,Reflection
Sb$_{2}$S$_{3}$,1.63,2,Absorption
RbBr,7.25,2,Reflection
Eu$_{3}$As$_{2}$,0.6,1,Thermal activation
AlP,2.42,2,
InAs,0.41,2,Magnetoabsorption
MoS$_{2}$,1,2,Thermal activation
Rb$_{3}$Sb,0.9,2,Thermal activation
AlAs,2.16,2,Absorption
ZnSe,2.76,2,
In$_{2}$Te$_{3}$,1.026,2,Thermal activation
PtSb$_{2}$,0.11,1,Absorption
AgBr,2.676,2,Absorption
WSe$_{2}$,1.35,1,Absorption
WS$_{2}$,0.45,2,Thermal activation
AgBr,2.68,1,Absorption
SbI$_{3}$,2.12,2,Absorption
Al$_{2}$Te$_{3}$,2.5,2,Thermal activation
CdSe,1.83,2,Photoconduction
CaO,7,2,Absorption
CdSb,0.585,2,Absorption
EuN,1.47,2,Estimated
K$_{3}$Sb,1.8,1,Absorption
ZnO,3.435,2,Reflection
Bi$_{2}$Te$_{3}$,0.171,2,Thermal activation
NiO,3.7,1,Electroreflection
Bi$_{2}$S$_{3}$,1.3,2,Absorption
Mg$_{2}$Sn,0.18,1,Reflection
As$_{2}$S$_{3}$,2.32,2,Absorption
HgO,2.48,1,Reflection
CsBr,7.18,1,Estimated
As,0.346,2,Magnetoreflection
In$_{2}$Te$_{3}$,1.11,2,Absorption
AsTe,0.74,1,
Cu$_{2}$S,1.93,2,Reflection
SnTe,0.18,1,Absorption
HgS,2.21,2,Reflection
PbTe,0.21,2,Photoconduction
BiI$_{3}$,1.73,1,Absorption
NaCl,8.6,2,Absorption
GaTe,1.63,2,Reflection
Sm$_{2}$S$_{3}$,3,1,Reflection
ZrS$_{3}$,2.17,1,Absorption
BeTe,2.89,1,SCOPW
BiI$_{3}$,1.93,2,Absorption
Al$_{2}$O$_{3}$,9.9,1,Absorption
MgSe,5.6,2,
C,5.41,2,Absorption
AlN,5.9,2,Absorption
GaP,2.75,2,Electroreflection
ZnTe,2.281,2,
PdO,0.6,2,Reflection
SiSe$_{2}$,1.72,1,Absorption
TlBr,3.115,2,Absorption
Ga$_{2}$Te$_{3}$,1.5,2,Thermal activation
Hg$_{2}$I$_{2}$,2.37,2,Absorption
Mg$_{3}$P$_{2}$,1.4,1,Estimated
CoO,0.125,2,Thermal activation
SrS,4.8,2,Absorption
Cd$_{3}$P$_{2}$,0.586,2,
PtSb$_{2}$,0.07,2,
TbO$_{2}$,0.5,1,Thermal activation
GeI$_{2}$,1.5,1,Estimated
Cu$_{2}$Se,1.3,2,Absorption
BaSe,3.6,1,Absorption
Te,0.33,2,Thermal activation
GaSe,1.93,2,Photoconduction
Cu$_{2}$S,1.26,2,Reflection
P,1.4,2,Absorption
ZnSe,2.81,2,Reflection
V$_{2}$O$_{5}$,2.54,2,Absorption
Pr$_{2}$Se$_{3}$,1.9,2,Thermal activation
ZnTe,2.255,2,Reflection
InSe,1.12,2,Absorption
ZnS,3.704,2,Absorption
TlSe,0.74,2,Reflection
ZnSb,0.59,2,Absorption
C,5.47,1,Absorption
Bi$_{2}$O$_{3}$,2.6,1,Absorption
S,3.82,2,Photoconduction
C,5.503,2,Photoconduction
Ag$_{2}$Te,0.13,2,Thermal activation
PdSe$_{2}$,0.4,1,Thermal activation
Mg$_{3}$Sb$_{2}$,0.8,2,
GaAs,1.51,2,Absorption
LiF,12.6,2,Estimated
EuSe,1.87,2,Absorption
In$_{2}$O$_{3}$,3.75,1,Absorption
RbCl,8.5,2,Absorption
Cu$_{2}$O,2.02,2,Reflection
SbI$_{3}$,2.22,1,Estimated
RbBr,7.2,1,Absorption
RhSe$_{3}$,0.7,1,Absorption
BN,3.8,2,Absorption
CaO,6.1,2,Absorption
GaSe,1.97,2,Absorption
GaAs,1.62,2,Absorption
AgBr,4.292,2,Absorption
PbCl$_{2}$,3.82,1,Absorption
SnSe$_{2}$,0.98,2,Absorption
Se,2.01,2,Reflection
CsBr,6.9,2,Estimated
GeAs,0.65,1,Absorption
Cu$_{2}$S,1.84,2,Photoconduction
PtO$_{2}$,0.2,1,Thermal activation
Mg$_{2}$Sn,0.31,2,Absorption
KBr,7.215,2,Reflection
CaB$_{6}$,4.4,2,
Cr$_{3}$Se$_{4}$,0.015,2,Thermal activation
ZnTe,2.37,2,Absorption
Bi$_{2}$S$_{3}$,0.72,2,Thermal activation
BaF$_{2}$,9.06,1,Absorption
InP,1.351,1,Absorption
Sb$_{0.71}$As$_{0.29}$,0.125,2,Thermal activation
HgS,0.7,2,Reflection
Si,1.16,2,Absorption
CsCl,8.1,1,Absorption
Ge$_{0.93}$Si$_{0.07}$,1.042,2,Electroreflection
MnO$_{2}$,0.7,2,Thermal activation
Bi$_{2}$Se$_{3}$,0.35,2,Absorption
DyN,2.6,1,Absorption
GaS,2.52,2,Absorption
GeTe,0.33,2,
EuO,4.3,2,Photoconduction
Ag$_{2}$S,0.87,1,Absorption
In$_{2}$S$_{3}$,1.1,1,Thermal activation
SiC,2.86,1,Absorption
Ge,0.744,2,Magnetoabsorption
BAs,1.46,1,Absorption
AgBr,2.97,2,Absorption
MoS$_{2}$,1.89,1,Absorption
WSe$_{2}$,1.49,2,
ZnP$_{2}$,1.65,1,
HgI$_{2}$,2.13,1,Reflection
PbSe,0.27,2,Reflection
CdI$_{2}$,3.2,2,Photoconduction
MnTe$_{2}$,0.48,1,Thermal activation
GaSe,2.169,2,Absorption
B,1.38,2,Absorption
CaO,7.7,1,Estimated
GeTe,0.7,2,Absorption
MgTe,4.7,1,
InAs,0.33,2,Absorption
Dy$_{2}$S$_{3}$,3,2,Thermal activation
ZnI$_{2}$,4.53,1,Absorption
Bi$_{2}$S$_{3}$,1.2,1,Absorption
As$_{2}$Te$_{3}$,0.48,1,Absorption
BP,2,2,
SiO$_{2}$,11,1,Reflection
SnO$_{2}$,4.3,1,Absorption
La$_{2}$Se$_{3}$,1.97,1,Reflection
KBr,7.13,2,Reflection
Mg$_{2}$Ge,0.69,2,Thermal activation
HgTe,0.15,2,Reflection
HgI$_{2}$,2.315,2,Reflection
Si,1.17,2,Absorption
Zr$_{6}$O,0.18,1,Thermal activation
PtP$_{2}$,0.6,2,Thermal activation
V$_{5}$O$_{9}$,0.15,1,Thermal activation
As$_{2}$S$_{3}$,2.1,2,Absorption
GeO$_{2}$,5.63,2,Reflection
UO,1.5,1,Thermal activation
Bi$_{2}$O$_{3}$,2.85,2,Absorption
ZnSb,0.606,2,Absorption
CdI$_{2}$,4.228,2,Absorption
GaTe,1.5,2,Photoconduction
ZrS$_{2}$,1.68,1,Absorption
P,0.33,1,Reflection
Lu$_{2}$O$_{3}$,3.94,1,Thermal activation
MnSe,1.8,1,Reflection
Ge,0.005,1,Magnetoabsorption
Eu$_{3}$P$_{2}$,1.2,1,Absorption
GeS,1.69,2,Absorption
Rb$_{3}$Sb,1.7,2,Absorption
Ga$_{2}$O$_{3}$,4.54,1,Absorption
GaP,2.22,1,Absorption
CoSi,0.045,1,
HgI$_{2}$,2.19,2,Absorption
SeS,1.9,1,Absorption
Ga$_{2}$Se$_{3}$,2.3,2,
BiBr$_{3}$,2.66,1,Absorption
CdCl$_{2}$,5.8,2,
CsBi$_{2}$,0.55,1,Absorption
Cd$_{3}$As$_{2}$,0.13,1,Absorption
PbSe,0.176,2,Magnetoabsorption
SmSb,0.59,1,Absorption
Bi$_{2}$Te$_{3}$,0.153,2,Thermal activation
PbCl$_{2}$,3.94,2,Absorption
GeAs$_{2}$,1,1,Absorption
Sb$_{2}$S$_{3}$,1.7,2,Absorption
I,1.68,2,Absorption
Cr$_{2}$O$_{3}$,1,2,
HoN,1.9,2,Absorption
As$_{2}$S$_{3}$,2.43,2,Absorption
BeO,11.6,2,
Mg$_{3}$Sb$_{2}$,0.82,1,
CaB$_{6}$,4.5,1,Reflection
ThO$_{2}$,3.3,2,Reflection
Eu$_{2}$O$_{3}$,1.7,1,Thermal activation
As$_{2}$S$_{3}$,2.23,2,Absorption
Ce$_{2}$Se$_{3}$,2,2,Thermal activation
As$_{2}$O$_{3}$,4,1,Absorption
MgO,7.4,2,Absorption
Bi$_{0.92}$Sb$_{0.08}$,0.011,2,Thermal activation
Tl$_{2}$Te$_{3}$,0.7,1,Absorption
MoTe$_{2}$,1.82,2,
ZnSe,2.67,1,Reflection
CdI$_{2}$,3.266,1,Absorption
TlSe,0.73,1,Absorption
ZnSb,0.61,2,Absorption
Tl$_{2}$Te$_{3}$,0.2,2,Thermal activation
AgBr,4.29,1,Absorption
EuS,1.69,2,Absorption
CdSe,1.733,2,Photoconduction
AgCl,3.25,2,Absorption
ZnO,3.31,2,Electroreflection
CdSc,1.714,1,Photoconduction
ReO$_{3}$,2.3,1,Reflection
Bi$_{2}$S$_{3}$,1.3,2,Absorption
NdTe$_{2}$,0.3,1,Thermal activation
DyB$_{6}$,3.3,1,Absorption
InSe,1.05,2,Absorption
TlN$_{3}$,3.58,1,Absorption
CsCl,7.8,2,Absorption
Ag$_{2}$Se,0.18,2,
Al$_{2}$Se$_{3}$,3.1,1,Absorption
YbS,0.176,2,Thermal activation
SnSe$_{2}$,1,2,Thermal activation
PrTe$_{2}$,1.02,1,Absorption
CdSb,0.45,2,Absorption
Yb$_{2}$O$_{3}$,1.53,2,Thermal activation
Zn$_{3}$Sb$_{2}$,0.22,1,Absorption
S,3.82,1,Photoconduction
CdTe,1.517,1,Electroreflection
KBr,8,2,Photoconduction
PbI$_{2}$,2.32,2,Absorption
Bi$_{2}$Se$_{3}$,0.4,2,Absorption
HgS,2.095,2,Estimated
Nb$_{2}$O$_{5}$,3.08,2,Reflection
TiS$_{2}$,1.95,2,Reflection
Cu$_{2}$O,2.67,2,Reflection
As$_{2}$Te$_{3}$,1,2,Absorption
NdAs,1.04,1,Absorption
InAs,0.412,2,
Cd$_{3}$Bi$_{2}$,0.2,1,Estimated
AlAs,2.215,2,Absorption
CuBr,2.987,1,Absorption
CuI,3.07,1,Estimated
PbI$_{2}$,3.01,2,Absorption
OsP$_{2}$,1.2,1,Reflection
MgF$_{2}$,11.8,1,Reflection
Mg$_{2}$Sn,0.23,2,Absorption
AlAs,2.9,1,
RbCl,8.1,2,Absorption
ZnSb,0.53,2,Absorption
GaAs,1.253,2,Absorption
PbTe,0.29,2,Absorption
ZnTe,2.176,2,Reflection
Tb$_{2}$O$_{3}$,0.95,1,Thermal activation
HgTe,0.266,2,Magnetoreflection
SrS,4.76,1,Absorption
Ag$_{2}$Te,0.85,2,Reflection
PtS$_{2}$,0.75,1,
Ge,0.771,2,Magnetoabsorption
Bi,0.024,2,Magnetoabsorption
PbTe,0.21,2,Reflection
CeO$_{2}$,5.5,2,Absorption
Mg$_{2}$Si,2.27,1,Electroreflection
ZnSe,2.874,2,Absorption
V$_{2}$O$_{5}$,2.49,2,Absorption
Eu$_{2}$O$_{3}$,1.84,2,Thermal activation
GeSe,1.1,1,Absorption
Eu$_{3}$O$_{4}$,0.6,1,Thermal activation
GaBi,0.1,1,Estimated
MoO$_{3}$,2.8,1,Absorption
AgTe,0.85,1,Absorption
GaSe,2.117,2,Absorption
ZnSb,1.09,2,Absorption
GaAs,1.518,2,Absorption
CaSe,4.87,1,Absorption
C,5.542,2,Photoconduction
HgTe,0.283,2,Magnetoreflection
ZnSb,0.99,1,Absorption
AsBr$_{3}$,2.6,1,Absorption
HgBr$_{2}$,3.59,1,Absorption
Al$_{2}$Te$_{3}$,2.5,1,Absorption
HgSe,0.1,2,Thermal activation
As$_{2}$O$_{3}$,5,2,Reflection
C,5.493,2,Photoconduction
AlAs,2.223,2,Absorption
SeTe,1.58,2,Absorption
ZnTe,2.385,2,Absorption
HfS$_{3}$,2.85,2,Photoconduction
GeSn,0.8,1,
ScN,2.6,1,
BaO,4.8,2,Absorption
GaSe,2.065,2,Absorption
CdSe,1.815,2,Photoconduction
P,0.35,2,Thermal activation
AlAs,2.1,1,
BN,8,1,APW
Si$_{2}$Te$_{3}$,1.98,1,Absorption
HgI$_{2}$,2.33,2,
RuSe$_{2}$,1,1,Reflection
Dy$_{2}$O$_{3}$,1.39,2,
Ti$_{2}$S$_{3}$,0.3,1,Thermal activation
PbS,0.44,2,Reflection
Li$_{3}$Sb,1,1,Thermal activation
SnO$_{2}$,4.1,2,Absorption
GeSe,1.53,1,Absorption
AgCl,3.246,2,Absorption
Cs$_{3}$As,0.6,1,
SnSe,0.91,1,Absorption
AlAs,3.5,2,
Ge,0.799,2,Absorption
GeTe$_{2}$,0.3,1,
MoS$_{2}$,0.25,1,Absorption
In$_{2}$Se,0.65,1,Absorption
CsBr,6.8,2,Absorption
TlCl,3.56,1,Absorption
Ge,0.889,2,Magnetoabsorption
TlSe,0.67,2,Photoconduction
HgI$_{2}$,2.795,2,Reflection
GaS,2.62,2,Absorption
AlAs,2.228,2,Absorption
Ag$_{2}$S,1,2,Reflection
MgSe,5.6,1,Absorption
Nd$_{2}$Te$_{3}$,1.12,1,Thermal activation
GeTe,0.84,1,Absorption
FeSc$_{2}$,0.77,1,Thermal activation
KI,6.375,2,Reflection
Cs$_{3}$Sb,1.6,1,Absorption
ZrS$_{2}$,0.85,2,Thermal activation
SeTe,0.64,1,Absorption
Mg$_{2}$Ge,0.548,2,Absorption
B,1.16,2,Photoconduction
Mg$_{3}$As$_{2}$,1,2,Estimated
Ca$_{2}$Sn,0.9,1,Thermal activation
CoAs$_{2}$,0.15,1,Thermal activation
GeS,1.68,2,Absorption
In$_{2}$Te$_{3}$,1.09,2,Absorption
Ge,0.88,2,Absorption
In$_{2}$O$_{3}$,2.8,2,Reflection
UO,0.6,2,Thermal activation
GaSe,2.12,2,Absorption
CdI$_{2}$,3.19,2,Absorption
GaP,2.78,1,Absorption
LiI,5.9,2,Absorption
Se,1.71,1,Absorption
CsI,6.37,1,Absorption
KF,10.9,1,Reflection
ErSe$_{2}$,1.07,1,Thermal activation
MnTe,1.25,1,Reflection
Ga$_{2}$Se$_{3}$,2.05,1,Absorption
InSb,0.234,2,
SnSe$_{2}$,1.3,2,Absorption
Ga$_{2}$Te$_{3}$,1.45,2,Thermal activation
Cs$_{2}$Te,3.5,1,
Ag$_{2}$Se,0.13,1,Absorption
B,1.44,2,Photoconduction
As$_{2}$S$_{3}$,2.355,2,Absorption
PbSe,0.165,2,Magnetoabsorption
CoO,0.47,1,Thermal activation
GaS,2.591,2,Absorption
WO$_{3}$,2.8,1,
CdTe,1.58,2,Thermal activation
Bi$_{0.91}$Sb$_{0.09}$,0.01,2,Thermal activation
Se,2.2,2,Reflection
Ga$_{2}$Te$_{3}$,1.33,2,Absorption
Mg$_{2}$Sn,0.34,2,
ZnSb,0.508,2,Absorption
TiTe$_{2}$,1,1,Reflection
I,1.5,2,Absorption
SnSe$_{2}$,1.62,2,Absorption
MnTe$_{9}$,2,2,Thermal activation
GeTe,0.8,2,Absorption
Bi$_{0.9}$Sb$_{0.1}$,0.014,2,Magnetoreflection
PtS,0.8,1,Absorption
PbO$_{2}$,2,1,
SiO$_{2}$,10.4,2,Reflection
AgCl,5.1,2,Estimated
SiC,2.2,1,Absorption
CdI$_{2}$,3.8,2,Photoconduction
Ti$_{2}$O$_{3}$,0.04,1,
Cd$_{3}$As$_{2}$,0.048,2,Magnetoreflection
Mg$_{2}$Sn,0.135,1,Absorption
Sb$_{2}$S$_{3}$,1.7,2,
As$_{2}$S$_{3}$,2.365,2,Absorption
LiBr,7.5,2,Reflection
Rb$_{3}$Sb,1,1,Absorption
MnF$_{2}$,10.2,1,Absorption
LaB$_{6}$,4.9,2,Reflection
UO$_{2}$,1.3,2,Thermal activation
Nb$_{2}$O$_{5}$,1.65,2,Thermal activation
PbBr$_{2}$,3.23,2,Absorption
NiO,3.7,2,Thermal activation
ZnS,3.73,2,Absorption
Na$_{2}$Te,2.3,1,Thermal activation
Mg$_{2}$Ge,0.57,2,Absorption
RuSb$_{2}$,0.3,1,Thermal activation
FeSi,0.1,1,Thermal activation
BiI$_{3}$,1.922,2,Absorption
Cd$_{3}$P$_{2}$,0.58,2,
SmTe,0.62,1,Absorption
ZnSb,0.59,2,Absorption
RuAs$_{2}$,0.8,1,Reflection
In$_{2}$Te$_{3}$,1,2,
GaP,2.895,2,Photoconduction
As$_{4}$S$_{4}$,2.4,1,Photoconduction
DyN,2.1,2,Absorption
TlCl,3.468,2,Absorption
GaSe,2.07,2,
Fe$_{2}$Te$_{3}$,0.6,1,Absorption
B,1.27,2,Thermal activation
CsF,10,1,Absorption
Rh$_{2}$S$_{3}$,0.8,1,Thermal activation
In$_{2}$Te$_{3}$,0.84,1,Reflection
CsCl,7.4,2,Estimated
TeI,1.1,1,Thermal activation
TiSe$_{2}$,1.55,2,Reflection
As$_{2}$Te$_{3}$,0.62,2,Absorption
NaBr,7.26,2,Reflection
PrSb,0.66,1,Absorption
BiI$_{3}$,2.029,2,Absorption
PbO,2.73,2,Reflection
FeTe$_{2}$,0.46,1,Thermal activation
CuP$_{2}$,1.51,2,Absorption
ZrS$_{2}$,2.75,1,Reflection
TlCl,3.46,2,Absorption
As,1.07,2,Reflection
PbI$_{2}$,2.535,2,
Na$_{2}$S,2.4,1,Estimated
YbS,0.33,1,Thermal activation
AlP,2.45,1,Absorption
CeO$_{2}$,2,2,
As$_{2}$S$_{3}$,3,2,
EuSe,3.1,2,Absorption
HfO$_{2}$,5.55,1,
NdB$_{6}$,3.4,2,Absorption
Fe$_{2}$O$_{3}$,1.06,2,Thermal activation
AgI,2.919,2,Absorption
In$_{4}$S$_{5}$,0.9,1,Photoconduction
InSb,0.17,1,Absorption
RuTe$_{2}$,0.25,2,Thermal activation
In$_{2}$Te$_{3}$,1.15,2,Thermal activation
PbTe,0.185,2,Photoconduction
NaI,6.75,2,Absorption
PtAs$_{2}$,0.5,2,Thermal activation
Er$_{3}$Te$_{4}$,0.9,1,Thermal activation
Mg$_{2}$Ge,0.54,2,
PbS,0.41,1,Reflection
NiP$_{2}$,0.5,1,Thermal activation
Ge,0.882,2,Absorption
SrTe,3.73,1,Absorption
Sb$_{2}$O$_{3}$,3.2,2,Reflection
B,1.55,2,Thermal activation
PbSe,0.165,2,Absorption
Te,0.335,2,Absorption
Pb$_{2}$O$_{3}$,1.67,1,Absorption
